id,population_sum,density_p_per_km2
ITA.17_1,1055334.125,77.56333315348216
ITA.18_1,898445.375,106.30009871213589
ITA.19_1,128152.1015625,39.4540239525977
ITA.20_1,4928067.5,275.32953420441174
LVA.1_1,258686.421875,19.081238797306302
LVA.2_1,292917.03125,19.905201572047517
LVA.3_1,973806.75,94.06187714286881
LVA.4_1,200365.515625,13.111449686665503
LVA.5_1,242875.796875,22.482590276606548
LTU.1_1,145179.5,25.76317309238133
LTU.2_1,569374.375,69.65314441686861
LTU.3_1,330076.0,61.38262617310881
LTU.4_1,152214.21875,34.22889522536119
LTU.5_1,230185.875,29.362805248929547
LTU.6_1,277944.6875,31.94678111929028
LTU.7_1,91216.2265625,23.83076952414597
LTU.8_1,140793.21875,33.79097314030944
LTU.9_1,138662.1875,19.651405906892965
LTU.10_1,801099.6875,81.80336468210805
LUX.1.1_1,16945.55859375,51.53811327409425
LUX.1.2_1,31992.34375,143.24175649711748
LUX.1.3_1,17961.056640625,69.22617150975597
LUX.1.4_1,4478.947265625,60.73589625335371
LUX.1.5_1,15367.271484375,58.39200164927212
LUX.2.1_1,18006.515625,97.36242154879264
LUX.2.2_1,28101.8671875,132.12296841933687
LUX.2.3_1,21250.765625,166.01503253059218
LUX.3.1_1,43948.4609375,236.7520303250602
LUX.3.2_1,166386.0,662.0423029210262
LUX.3.3_1,170946.1875,720.9490844085981
LUX.3.4_1,30076.56640625,128.9014346574741
NLD.1_1,507620.5625,190.54002854540136
NLD.2_1,419302.4375,285.55348656195986
NLD.3_1,653232.25,182.47064057098385
NLD.4_1,2026809.375,396.5759154875329
NLD.5_1,558381.8125,235.1946872407685
NLD.6_1,7236.759765625,3.619643467040923
NLD.7_1,1105787.75,511.30550143861575
NLD.8_1,2489677.75,491.91507237933837
NLD.9_1,2742232.25,953.7754030581632
NLD.10_1,1143957.375,339.13364064341204
NLD.11_1,1275625.0,881.6551622690432
NLD.12_1,376326.28125,208.39698676407826
NLD.13_1,7366.9482421875,10.604503611608418
